ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Elsa Schmid,American,1897,1970,Female,moma.org/artists/5227
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Karl Schmidt-Rottluff,German,1884,1976,Male,moma.org/artists/5242
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Kurt Schwitters,German,1887,1948,Male,moma.org/artists/5293
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Ben Shahn,American,1898,1969,Male,moma.org/artists/5366
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,David Alfaro Siqueiros,Mexican,1896,1974,Male,moma.org/artists/5454
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Chaim Soutine,French,1893,1943,Male,moma.org/artists/5543
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Stanley Spencer,British,1891,1959,Male,moma.org/artists/5562
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Graham Sutherland,British,1903,1980,Male,moma.org/artists/5739
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Rufino Tamayo,Mexican,1899,1991,Male,moma.org/artists/5795
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Tebo (Angel Torres Jaramillo),Mexican,1916,,Male,moma.org/artists/5825
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Mark Tobey,American,1890,1976,Male,moma.org/artists/5889
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,John Tunnard,British,1900,1971,Male,moma.org/artists/5969
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Abraham Walkowitz,American,1878,1965,Male,moma.org/artists/6223
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Franklin Chenault Watkins,American,1894,1972,Male,moma.org/artists/6261
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Max Weber,American,1881,1961,Male,moma.org/artists/6275
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Michael Ayrton,British,1921,1975,Male,moma.org/artists/258
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Prunella Clough,British,,,Female,moma.org/artists/1159
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Robert Colquhoun,British,1914,1962,Male,moma.org/artists/1198
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Duncan Grant,British,1885,1978,Male,moma.org/artists/2294
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Caroline Lucas,American,,,Female,moma.org/artists/3620
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Robert MacBryde,British,1913,1966,Male,moma.org/artists/3660
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Henry Moore,British,1898,1986,Male,moma.org/artists/4071
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,John Piper,British,1903,1992,Male,moma.org/artists/4633
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Graham Sutherland,British,1903,1980,Male,moma.org/artists/5739
Recent Acquisitions: British Color Lithographs,1950,moma.org/calendar/exhibitions/3378,Keith Vaughan,British,,,Male,moma.org/artists/6114
Photographs by Lewis Carroll,1950,moma.org/calendar/exhibitions/2410,Lewis Carroll (Charles Lutwidge Dodgson),British,1832,1898,Male,moma.org/artists/12177
Matthew Nowicki 19101950,1950,moma.org/calendar/exhibitions/3272,William Henley Deitrick,,,,,moma.org/artists/62724
Matthew Nowicki 19101950,1950,moma.org/calendar/exhibitions/3272,Albert Mayer,,,,,moma.org/artists/61813
Matthew Nowicki 19101950,1950,moma.org/calendar/exhibitions/3272,Matthew Nowicki,Polish,1910,1950,Male,moma.org/artists/64172
Matthew Nowicki 19101950,1950,moma.org/calendar/exhibitions/3272,Stein Clarence,American,1882,1975,Male,moma.org/artists/61483
Matthew Nowicki 19101950,1950,moma.org/calendar/exhibitions/3272,Julian Whittlesey,American,1906,1995,,moma.org/artists/40347
